物品编号,重量,价值,是否选择
0,85,291.64,0
1,96,321.25,0
2,29,334.05,0
3,78,154.13,0
4,73,334.04,0
5,60,248.00,0
6,44,317.32,0
7,35,240.76,0
8,67,202.16,0
9,76,139.49,0
10,19,183.25,0
11,19,252.84,0
12,37,204.85,0
13,2,135.88,1
14,29,376.69,0
15,69,121.12,0
16,82,417.70,0
17,1,326.16,1
18,25,308.63,0
19,3,383.74,1
20,75,238.89,0
21,10,355.24,1
22,47,390.07,0
23,5,175.37,1
24,19,279.80,0
25,58,382.60,0
26,94,174.80,0
27,49,172.47,0
28,88,364.30,0
29,5,115.91,0
30,61,147.51,0
31,40,336.67,0
32,63,190.54,0
33,94,179.40,0
34,29,276.13,0
35,32,320.52,0
36,8,361.36,1
37,28,246.25,0
38,93,243.52,0
39,32,241.88,0
40,91,178.84,0
41,58,161.25,0
42,15,375.47,1
43,71,188.58,0
44,57,395.00,0
45,61,121.20,0
46,8,315.86,1
47,1,419.37,1
48,69,105.30,0
49,65,241.02,0
50,48,364.31,0
51,96,295.11,0
52,75,236.56,0
53,32,160.80,0
54,15,233.28,0
55,96,200.06,0
56,44,194.70,0
57,10,332.19,1
58,33,139.90,0
59,9,227.34,1
60,20,123.92,0
61,69,396.63,0
62,99,300.39,0
63,48,216.01,0
64,46,257.73,0
65,15,226.01,0
66,79,137.73,0
67,81,156.86,0
68,24,310.97,0
69,8,348.89,1
70,8,151.73,0
71,35,311.43,0
72,49,223.47,0
73,44,123.96,0
74,64,225.61,0
75,10,388.99,1
76,29,289.36,0
77,71,214.27,0
78,92,267.26,0
79,88,402.84,0
80,93,344.23,0
81,44,187.23,0
82,88,236.15,0
83,89,256.89,0
84,48,304.03,0
85,44,415.39,0
86,28,211.12,0
87,40,356.22,0
88,90,417.24,0
89,30,413.77,0
90,48,171.56,0
91,3,292.47,1
92,21,247.26,0
93,69,167.17,0
94,77,147.12,0
95,59,191.77,0
96,79,317.20,0
97,23,187.80,0
98,62,408.45,0
99,49,137.38,0
100,85,191.18,0
101,70,303.11,0
102,92,388.18,0
103,82,288.75,0
104,28,201.03,0
105,74,122.97,0
106,26,264.23,0
107,40,386.21,0
108,3,264.88,1
109,12,203.24,0
110,2,290.43,1
111,75,279.53,0
112,58,385.04,0
113,62,301.09,0
114,85,167.99,0
115,69,169.90,0
116,54,203.86,0
117,44,292.76,0
118,47,424.09,0
119,58,237.44,0
120,38,238.94,0
121,53,149.25,0
122,93,226.90,0
123,61,309.63,0
124,31,210.16,0
125,80,280.65,0
126,41,156.81,0
127,77,226.20,0
128,89,356.79,0
129,35,283.02,0
130,38,103.33,0
131,13,244.80,0
132,12,174.15,0
133,68,347.62,0
134,66,152.23,0
135,52,177.06,0
136,4,140.31,1
137,10,417.48,1
138,78,202.70,0
139,54,203.94,0
140,74,207.00,0
141,89,367.80,0
142,100,281.04,0
143,21,421.29,0
144,81,297.49,0
145,91,227.42,0
146,96,239.84,0
147,100,426.46,0
148,33,190.13,0
149,44,113.55,0
150,51,153.46,0
151,28,256.52,0
152,55,425.88,0
153,63,207.43,0
154,35,426.89,0
155,62,384.41,0
156,7,307.66,1
157,58,115.64,0
158,79,307.06,0
159,54,117.68,0
160,52,200.50,0
161,46,238.37,0
162,92,367.34,0
163,100,298.00,0
164,68,268.20,0
165,9,229.65,1
166,32,117.80,0
167,77,143.39,0
168,98,233.96,0
169,62,119.82,0
170,14,243.88,0
171,18,357.37,0
172,54,165.01,0
173,80,168.42,0
174,4,298.61,1
175,6,380.74,1
176,100,315.18,0
177,88,102.53,0
178,24,367.85,0
179,3,271.99,1
180,13,353.08,1
181,70,362.24,0
182,68,155.08,0
183,73,334.74,0
184,53,269.59,0
185,28,110.24,0
186,59,400.96,0
187,38,130.89,0
188,15,343.28,0
189,48,197.57,0
190,65,411.63,0
191,95,156.15,0
192,65,163.86,0
193,73,272.12,0
194,86,215.51,0
195,18,279.71,0
196,73,317.82,0
197,77,187.89,0
198,44,139.61,0
199,74,190.95,0
200,85,183.08,0
201,89,144.53,0
202,76,426.83,0
203,26,214.82,0
204,39,352.01,0
205,55,212.45,0
206,13,238.83,0
207,90,202.06,0
208,34,180.20,0
209,60,226.58,0
210,62,304.34,0
211,77,426.51,0
212,35,291.44,0
213,72,376.43,0
214,43,365.57,0
215,97,229.54,0
216,32,208.45,0
217,37,198.79,0
218,99,270.07,0
219,70,310.03,0
220,82,284.39,0
221,4,232.68,1
222,93,120.45,0
223,51,140.00,0
224,3,398.53,1
225,78,110.96,0
226,66,137.44,0
227,59,336.48,0
228,28,331.32,0
229,44,297.24,0
230,41,236.23,0
231,42,159.08,0
232,53,180.33,0
233,4,259.31,1
234,92,299.07,0
235,13,291.49,0
236,78,161.94,0
237,30,288.08,0
238,44,161.21,0
239,86,420.92,0
240,16,126.14,0
241,95,408.21,0
242,44,293.15,0
243,6,135.45,0
244,58,423.12,0
245,77,312.93,0
246,7,230.07,1
247,60,189.89,0
248,9,189.36,0
